1106010,2020-12-16 00:06:01.220895+00,2020-12-16 00:06:01.220909+00,,,LINGE,,,1106,
1106011,2020-12-16 00:06:01.223692+00,2020-12-16 00:06:01.223706+00,,,ATU LINTANG,,,1106,
1106012,2020-12-16 00:06:01.226492+00,2020-12-16 00:06:01.226507+00,,,JAGONG JEGET,,,1106,
1106020,2020-12-16 00:06:01.229072+00,2020-12-16 00:06:01.229087+00,,,BINTANG,,,1106,
1106031,2020-12-16 00:06:01.231845+00,2020-12-16 00:06:01.23186+00,,,LUT TAWAR,,,1106,
1106032,2020-12-16 00:06:01.234471+00,2020-12-16 00:06:01.234485+00,,,KEBAYAKAN,,,1106,
1106040,2020-12-16 00:06:01.236978+00,2020-12-16 00:06:01.236993+00,,,PEGASING,,,1106,
1106041,2020-12-16 00:06:01.239627+00,2020-12-16 00:06:01.239642+00,,,BIES,,,1106,
1106050,2020-12-16 00:06:01.242667+00,2020-12-16 00:06:01.242681+00,,,BEBESEN,,,1106,
1106051,2020-12-16 00:06:01.245093+00,2020-12-16 00:06:01.245107+00,,,KUTE PANANG,,,1106,
1106060,2020-12-16 00:06:01.248131+00,2020-12-16 00:06:01.248145+00,,,SILIH NARA,,,1106,
1106061,2020-12-16 00:06:01.250534+00,2020-12-16 00:06:01.250548+00,,,KETOL,,,1106,
1106062,2020-12-16 00:06:01.253139+00,2020-12-16 00:06:01.253153+00,,,CELALA,,,1106,
1106063,2020-12-16 00:06:01.255768+00,2020-12-16 00:06:01.255783+00,,,RUSIP ANTARA,,,1106,
1107050,2020-12-16 00:06:01.258392+00,2020-12-16 00:06:01.258413+00,,,JOHAN PAHLAWAN,,,1107,
1107060,2020-12-16 00:06:01.261254+00,2020-12-16 00:06:01.261268+00,,,SAMATIGA,,,1107,
1107061,2020-12-16 00:06:01.264111+00,2020-12-16 00:06:01.264126+00,,,BUBON,,,1107,
1107062,2020-12-16 00:06:01.266916+00,2020-12-16 00:06:01.26693+00,,,ARONGAN LAMBALEK,,,1107,
1107070,2020-12-16 00:06:01.269738+00,2020-12-16 00:06:01.269753+00,,,WOYLA,,,1107,
1107071,2020-12-16 00:06:01.272396+00,2020-12-16 00:06:01.272411+00,,,WOYLA BARAT,,,1107,
1107072,2020-12-16 00:06:01.274877+00,2020-12-16 00:06:01.274891+00,,,WOYLA TIMUR,,,1107,
1107080,2020-12-16 00:06:01.277399+00,2020-12-16 00:06:01.277414+00,,,KAWAY XVI,,,1107,
1107081,2020-12-16 00:06:01.279984+00,2020-12-16 00:06:01.279999+00,,,MEUREUBO,,,1107,
1107082,2020-12-16 00:06:01.282503+00,2020-12-16 00:06:01.282517+00,,,PANTAI CEUREMEN,,,1107,
1107083,2020-12-16 00:06:01.285038+00,2020-12-16 00:06:01.285053+00,,,PANTON REU,,,1107,
1107090,2020-12-16 00:06:01.287565+00,2020-12-16 00:06:01.287578+00,,,SUNGAI MAS,,,1107,
1108010,2020-12-16 00:06:01.290234+00,2020-12-16 00:06:01.290248+00,,,LHOONG,,,1108,
